Символ,Код
\n\n,10110011
\nА,1111000100
\nБ,1111010000
\nВ,10000011
\nД,1110111011
\nЕ,1110101111
\nЗ,1110101000
\nИ,0011011
\nК,000010000
\nЛ,110010001
\nН,10111001
\nО,110110000
\nП,10101111
\nС,110111000
\nТ,1110100101
" А",1111010110
" В",1111101011
" б",0101111
" в",0100000
" г",110100010
" д",0010011
" е",1111111110
" ж",1111001111
" з",0100101
" и",110011011
" к",0010100
" л",0100100
" м",0110100
" н",000101
" о",110001011
" п",011000
" р",000000000
" с",010101
" т",0011000
" у",110011101
" ч",111001001
" я",110111010
" —",110101101
!\n,110000000
",\n",000110
", ",000111
.\n,10000100
. ,110010100
..,110000110
:\n,110101001
: ,000001011
;\n,110101011
; ,1111010100
?\n,1110110011
А ,1110100000
Ав,1111001001
Бл,1110100010
Ве,10000110
Вс,1111110010
Др,1111011010
Ещ,000010010
Зв,000000011
И ,0100011
Ко,000000110
Ле,1111111010
Лу,000010101
Мо,000011110
На,110100110
Не,000000010
Но,1110100111
Оз,000011101
От,000011001
По,111000101
Пр,110011001
Ск,110001101
Тр,1110011111
а ,1010100
"а,",0100010
а.,1110101110
ав,10111011
ад,1111100100
ае,1111101001
ак,1111110100
ал,1111000101
ам,110111101
ан,111001010
ап,000010111
ар,110111011
ас,10000000
ат,01111010
ач,110110101
ая,110000101
бе,10111000
бл,10001111
бу,1110110001
бы,110111001
в ,110110100
ве,0011101
вз,1110011110
ви,110101100
вн,1111110001
во,10001000
вр,110010101
вс,1111001000
вь,1110111000
г ,01110111
"г,",1110110010
га,1111101110
гл,110000100
го,10010001
гу,01111111
д ,1111100000
да,110010011
де,10001101
ди,10000010
дл,1110110110
дн,1111110110
до,10001001
др,110011110
ду,1111011110
е ,0011010
"е,",01011101
е.,1110011010
е;,1111111001
еб,110001000
ев,110001100
ег,0010101
ед,10001011
ее,110100111
еж,110111100
ез,1111110111
ей,000001000
ел,001000
ем,110010000
ен,0110111
еп,1111100001
ер,0100001
ес,010100
ет,10111010
еч,0110110
еш,110100100
ещ,1111001101
жа,1111001100
же,1111101101
жи,1111110011
з ,1111000011
за,01111100
зд,000011100
зе,1110101100
зл,000000101
зн,000100011
зо,1111100110
зр,000000100
зь,110110010
зя,000100111
и\n,111000111
и ,0110010
"и,",1110101101
и.,000010110
ив,000100101
ид,000011010
ик,1111011000
ил,10101110
им,110101110
ин,110000011
ис,110110001
ит,01110110
иц,000000111
иш,1111011001
ия,000001010
й ,1010001
й!,1111111111
"й,",000011000
к ,1111101000
ка,110011000
кв,110000010
ки,110101000
кн,111001000
ко,1010000
кр,110100001
ку,000001100
ла,0011001
ле,100101
ли,10110101
лк,1110101011
лн,111000110
лт,1110111111
лу,1111100111
лы,01111110
ль,0010111
ля,10000111
м\n,110010111
м ,0011111
ма,1110010111
мг,1111000111
ме,010111001
ми,0110011
мк,1111110000
мл,1111100011
мн,110111110
мр,1110111010
мс,1110100011
му,110001010
н ,000100010
на,1010110
не,010110
ни,110110111
нк,111000010
нн,110011100
но,1010011
нт,1111110101
ну,1111010001
нц,110101010
нч,1111111000
ны,1001111
нь,000001110
ня,111000000
о ,0110101
"о,",1111101100
о:,000001111
об,1111000001
ов,000100001
ог,110111111
од,10001110
ое,1111001011
оз,10110000
ой,01111000
ок,1111011111
ол,1001101
ом,1001100
он,1111111011
оп,1110100100
ор,0010010
ос,110110110
ою,100100110
пе,10010000
пл,1111010101
пн,1111000010
по,0011110
пр,10110110
пу,1110101010
пя,1110011011
"р,",1111010111
ра,0111001
ре,010011
ри,1111111100
рн,01110100
ро,0011100
рп,1110100110
ру,01111101
ры,111000011
с ,1110011000
са,10110001
се,10010010
си,110110011
ск,10001100
сн,10111110
со,10001010
ст,1010101
сь,10110010
ся,111000001
т ,1110110100
"т,",110100101
т.,000010001
т;,1111000000
та,110001110
те,110010110
ти,110001001
тк,1111001010
тн,10111101
то,110001111
тр,10000001
ту,1111011011
ты,0111000
ть,100100111
тя,1111101111
у\n,000011111
у ,10110100
"у,",000100110
уб,1111001110
уг,110011111
уд,000000001
ум,1110110000
ун,010111000
ур,000100100
ус,110000111
ут,01110101
уч,1110111001
ую,1110111100
ца,1111100010
це,111000100
ча,1111010011
че,110100011
чи,1110011100
чк,1110111110
чн,101111110
чо,000010100
чу,110101111
чь,110100000
шь,01111001
ще,1111000110
щи,1110111101
ы\n,1111111101
ы ,10110111
"ы,",1110101001
ые,10000101
ый,0010110
ыл,1111100101
ым,10111100
ын,000011011
ь ,1001110
ь!,1111011100
"ь,",01111011
ь.,1111101010
ь:,110011010
ь;,000001101
ь?,1110011101
ьд,1111010010
ьз,1110110101
ьн,1110011001
ью,1110010110
ю ,110000001
юг,1110110111
я\n,000010011
я ,1010010
я.,1111011101
яв,1110100001
яд,000100000
ян,000001001
ят,101111111
—\n,110010010
