Символ,Код
\n\n,01111001
\nА,1111000100
\nБ,1110110100
\nВ,100100000
\nД,1111010000
\nЕ,1111100000
\nЗ,1111101000
\nИ,0101110
\nК,1101100010
\nЛ,110010100
\nН,01110010
\nО,101100000
\nП,100000000
\nС,101010100
\nТ,1111101100
" А",1110101101
" В",1110010010
" б",01000001
" в",0101010
" г",101110001
" д",0100101
" е",1101111001
" ж",1110110101
" з",0100110
" и",101111001
" к",0110011
" л",0100111
" м",0100010
" н",000111
" о",110001101
" п",0000001
" р",110111011
" с",000010
" т",01100001
" у",10111011
" ч",101000001
" я",101010010
" —",101100011
!\n,110000001
",\n",0001001
", ",000110
.\n,10001111
. ,110011000
..,110000111
:\n,101101000
: ,1101101000
;\n,101100101
; ,1110110000
?\n,1111011001
А ,1111110010
Ав,111011111
Бл,1111110000
Ве,10001101
Вс,1110001001
Др,1110101000
Ещ,1101100000
Зв,110111001
И ,01010000
Ко,110110111
Ле,1110000000
Лу,110101101
Мо,1101010000
На,101101100
Не,1101110100
Но,1111101001
Оз,1101010001
От,1101010101
По,101000101
Пр,10111110
Ск,110010000
Тр,1111110011
а ,0010010
"а,",01101000
а.,1111100001
ав,01110000
ад,111001101
ае,1110010100
ак,111000011
ал,1111000011
ам,10100111
ан,101000000
ап,1101011000
ар,101010001
ас,10010010
ат,10011000
ач,101011000
ая,110000110
бе,01110011
бл,10000100
бу,111101110
бы,101010011
в ,101011001
ве,01011001
вз,1111110100
ви,101100100
вн,111000101
во,10001011
вр,110011001
вс,1111000000
вь,1111010011
г ,10011011
"г,",111101101
га,111000111
гл,110000101
го,10000010
гу,10010011
д ,1110100001
да,11001011
де,10000110
ди,100100001
дл,1111010101
дн,1110000100
до,10001010
др,101110101
ду,1110100011
е ,0101111
"е,",10010100
е.,1111111001
е;,1110000001
еб,110001001
ев,11000111
ег,01100101
ед,10001000
ее,10110101
еж,101010000
ез,1110000011
ей,1101101100
ел,000101
ем,110010011
ен,01000000
еп,1110100000
ер,0101001
ес,000011
ет,01110001
еч,0100100
еш,10110111
ещ,1110111000
жа,1110111001
же,1110010000
жи,1110001000
з ,1111000101
за,10010110
зд,1101010010
зе,1111100011
зл,1101110000
зн,1101001001
зо,1110011000
зр,1101110001
зь,10101110
зя,1101000100
и\n,101000011
и ,0011100
"и,",1111100010
и.,1101011001
ив,110100011
ид,1101010100
ик,111010101
ил,01101001
им,101100010
ин,110000100
ис,10101111
ит,10011100
иц,1101101101
иш,1110101001
ия,1101101001
й ,001011
й!,1101111000
"й,",110101011
к ,1110010101
ка,11001111
кв,110000011
ки,101101001
кн,101000010
ко,0011000
кр,101110010
ку,110110011
ла,01100000
ле,0000000
ли,0111011
лк,1111100100
лн,101000100
лт,111100101
лу,111001011
лы,10011110
ль,0110001
ля,10001100
м\n,11001110
м ,0101011
ма,111111111
мг,1111000001
ме,1101000010
ми,0100011
мк,1110001100
мл,111001110
мн,101001101
мр,1111010001
мс,111110111
му,10111111
н ,110100101
на,0010000
не,000001
ни,101010101
нк,101001000
нн,101111000
но,0010011
нт,1110000101
ну,1110110011
нц,10110011
нч,1110000010
ны,0011001
нь,1101100100
ня,10100101
о ,0100001
"о,",1110010001
о:,1101100011
об,1111001000
ов,1101001100
ог,101001100
од,10000101
ое,111011101
оз,0111111
ой,10011010
ок,1110100010
ол,0011011
ом,0010101
он,110111111
оп,1111101101
ор,01010001
ос,10101011
ою,1101000001
пе,10000011
пл,111010111
пн,111100011
по,01011000
пр,01110101
пу,1111100101
пя,1111111000
"р,",1110101100
ра,0011101
ре,0001000
ри,110111110
рн,100000001
ро,0101101
рп,111110101
ру,10010101
ры,101000111
с ,111111110
са,0111110
се,10000001
си,10101101
ск,10000111
сн,0110101
со,10001001
ст,0010001
сь,0111101
ся,101001001
т ,1111011000
"т,",101101101
т.,1101100001
т;,1111001001
та,110010001
те,11001101
ти,11000101
тк,111011110
тн,0110110
то,110010010
тр,10010001
ту,111010011
ты,001111
ть,110001100
тя,1110001101
у\n,110100111
у ,01111000
"у,",1101000101
уб,111011011
уг,101110100
уд,1101110101
ум,111101111
ун,1101000011
ур,1101001000
ус,110001000
ут,10011101
уч,1111010010
ую,111100111
ца,111001111
це,101000110
ча,1110110001
че,101110000
чи,111111011
чк,1111001100
чн,10011111
чо,110101110
чу,101100001
чь,101110011
шь,10011001
ще,1111000010
щи,1111001101
ы\n,110111101
ы ,01110100
"ы,",111110011
ые,10001110
ый,01100100
ыл,1110011001
ым,0110111
ын,1101010011
ь ,0011010
ь!,1110100101
"ь,",10010111
ь.,1110010011
ь:,10111101
ь;,1101100101
ь?,1111110101
ьд,1110110010
ьз,111101011
ьн,111111101
ью,1101000000
ю ,110000010
юг,1111010100
я\n,110101111
я ,0010100
я.,1110100100
яв,1111110001
яд,1101001101
ян,110110101
ят,110000000
—\n,110010101
