Символ,Код
\n,10000
" ",0000
!,11110111
",",101000
.,111001
:,11110101
;,11110010
?,111111001
А,11111011
Б,111111110
В,1110110
Д,111111111
Е,111111100
З,111111011
И,1110100
К,111111101
Л,11111010
М,111111010
Н,1110101
О,111110001
П,1110111
С,111110000
Т,111111000
а,01001
б,1110000
в,110000
г,110100
д,110001
е,0001
ж,11110001
з,110101
и,10010
й,1110001
к,10111
л,0101
м,10011
н,001
о,01000
п,110010
р,0111
с,0110
т,10001
у,10110
ц,11110100
ч,11011
ш,11110011
щ,11111001
ы,10101
ь,101001
ю,11110000
я,110011
—,11110110
